Geography2,CalendarYear2,Water_System,PWSID_Number,Mean_Concentration,Concentration_Unit,People_Served,County_Code2
Adams,2018,MOUNTAIN VIEW MHP,PA7010029,6,µg/L,180,1
Adams,2018,CHESAPEAKE ESTATES MHP,PA7010041,2.5,µg/L,437,1
Adams,2018,EISENHOWER WATER SUPPLY,PA7010048,2.5,µg/L,760,1
Adams,2018,PA AMER WATER CO LAKE HERITAGE,PA7010035,0.7,µg/L,"1,648",1
Adams,2018,EAGLE VIEW MHP,PA7010055,2.5,µg/L,230,1
Adams,2018,THE VILLAGE OF LAUREL RUN,PA7010007,2.5,µg/L,250,1
Adams,2018,CAVALRY HEIGHTS MHP,PA7010039,2.5,µg/L,80,1
Adams,2018,WESTERN CUMBERLAND WATER SYS,PA7010038,0.7,µg/L,426,1
Adams,2018,HILLSIDE REST HOME INC,PA7010006,2.5,µg/L,58,1
Adams,2018,YORK SPRINGS MUNI WATER,PA7010030,2.5,µg/L,"1,095",1
Adams,2018,PANORAMA MHP,PA7010028,0.7,µg/L,75,1
Adams,2018,BIGLERVILLE WATER CO,PA7010020,2.5,µg/L,"2,501",1
Adams,2018,POSSUM VALLEY MUNI AUTH,PA7010034,2.5,µg/L,550,1
Adams,2018,FAIRFIELD MUNI AUTH,PA7010005,2.5,µg/L,"2,150",1
Adams,2018,LITTLESTOWN BORO,PA7010022,2.5,µg/L,"7,300",1
Adams,2018,BONNEAUVILLE MUNI WATER AUTH,PA7010012,2.5,µg/L,"2,730",1
Adams,2018,LAKE MEADE MUNI AUTH,PA7010036,2.5,µg/L,"3,221",1
Adams,2018,EAST BERLIN AREA JOINT AUTH,PA7010003,2.5,µg/L,"1,750",1
Adams,2018,WALNUT GROVE MHP,PA7010053,5,µg/L,425,1
Adams,2018,BENDERSVILLE MUNI AUTH,PA7010002,2.5,µg/L,"1,039",1
Adams,2018,ANCHOR ESTATES,PA7010017,0.7,µg/L,300,1
Adams,2018,CARROLL VALLEY WATER SYSTEM,PA7010033,0.7,µg/L,267,1
Adams,2018,PINE RUN INC,PA7010052,2.5,µg/L,127,1
Adams,2018,FRANKLIN TWP MUNI AUTH,PA7010032,0.19,µg/L,441,1
Adams,2018,GETTYSBURG MUNI AUTH,PA7010019,3.79,µg/L,"12,425",1
Adams,2018,ADAMS CNTY FAC CTR,PA7010056,2.5,µg/L,450,1
Adams,2018,OAK VILLAGE,PA7010011,0.7,µg/L,225,1
Adams,2018,CASTLE HILL MHP,PA7010014,7,µg/L,120,1
Adams,2018,ROUND TOP MHP,PA7010046,2.5,µg/L,185,1
Adams,2018,EASTERN CUMBERLAND WATER SYS,PA7010044,3.8,µg/L,150,1
Adams,2018,NEW OXFORD MUNCI AUTH,PA7010025,2.5,µg/L,"3,963",1
Adams,2018,NEW OXFORD MANOR MHP,PA7010023,2.5,µg/L,350,1
Adams,2018,ARENDTSVILLE MUNI WATER SYS,PA7010001,2.5,µg/L,"1,200",1
Adams,2018,HOFFMAN HOMES FOR YOUTHS INC,PA7010021,2.5,µg/L,270,1
Adams,2018,AQUA PA LINKS AT GETTYSBURG SY,PA7010057,3.7,µg/L,398,1
Allegheny,2018,WEST CNTY MUNI AUTH-MCKEESPORT,PA5020025,0.7,µg/L,"32,645",3
Allegheny,2018,SPRINGDALE BORO WATER DEPT,PA5020053,0.5,µg/L,"3,405",3
Allegheny,2018,WEST VIEW WATER AUTHORITY,PA5020043,0.5,µg/L,"200,000",3
Allegheny,2018,BRACKENRIDGE BORO WATER DEPT,PA5020006,0.5,µg/L,"3,700",3
Allegheny,2018,MOON TWP MUNI AUTH,PA5020011,0.5,µg/L,"38,000",3
Allegheny,2018,TARENTUM BORO WATER DEPT,PA5020055,0.5,µg/L,"4,927",3
Allegheny,2018,CORAOPOLIS WATER & SEWER AUTH,PA5020010,0.5,µg/L,"6,000",3
Allegheny,2018,SEWICKLEY BORO WATER AUTH,PA5020050,0.5,µg/L,"6,800",3
Allegheny,2018,HARRISON TWP WATER AUTH,PA5020108,0.7,µg/L,"13,411",3
Allegheny,2018,HAMPTON SHALER WATER AUTHORITY,PA5020019,0.5,µg/L,"62,497",3
Allegheny,2018,OAKMONT WATER AUTHORITY,PA5020036,0.5,µg/L,"40,299",3
Allegheny,2018,WILKINSBURG-PENN JT WATER AUTH,PA5020056,0.5,µg/L,"125,000",3
Allegheny,2018,ROBINSON TWP MUNI AUTH,PA5020045,0.5,µg/L,"16,354",3
Allegheny,2018,PA AMER WATER CO-PITTSBURGH,PA5020039,0.7,µg/L,"686,000",3
Allegheny,2018,PITTSBURGH WATER & SEWER AUTH,PA5020038,0.5,µg/L,"520,000",3
Allegheny,2018,HARMAR TWP MUNI AUTH,PA5020009,1,µg/L,"3,200",3
Armstrong,2018,DAYTON MUNI WATER DEPT,PA5030002,1,µg/L,583,5
Armstrong,2018,BRADYS BEND WATER & SEW AUTH,PA5030037,0.5,µg/L,625,5
Armstrong,2018,PARKER AREA WATER AUTH,PA5030011,0.5,µg/L,900,5
Armstrong,2018,TEMPLETON WATER CO,PA5030016,0.5,µg/L,474,5
Armstrong,2018,FORD CITY MUNI WATER WORKS,PA5030005,0.5,µg/L,"2,991",5
Armstrong,2018,WORTHINGTON WEST FRANKLIN JMA,PA5030027,1,µg/L,"1,500",5
Armstrong,2018,KITTANNING SUBURB JT WATER AUT,PA5030043,0.5,µg/L,"8,000",5
