Geography,CalendarYear,Concentration_Group,Quarter_Group_Name,Systems_By_Max_Concentration,People_By_Max_Concentration,Systems_By_Mean_Concentration,People_By_Mean_Concentration,County_Code1
Pennsylvania,2018,> 10 to 20 mg/L,NoQuarter,14,"13,632",2,775,0
Bedford,2018,> 10 to 20 mg/L,NoQuarter,1,443,0,0,9
Berks,2018,> 10 to 20 mg/L,NoQuarter,1,50,0,0,11
Chester,2018,> 10 to 20 mg/L,NoQuarter,2,556,0,0,29
Lancaster,2018,> 10 to 20 mg/L,NoQuarter,4,"1,460",0,0,71
Lebanon,2018,> 10 to 20 mg/L,NoQuarter,2,"9,900",0,0,75
Northampton,2018,> 10 to 20 mg/L,NoQuarter,2,490,1,90,95
Schuylkill,2018,> 10 to 20 mg/L,NoQuarter,1,48,0,0,107
Snyder,2018,> 10 to 20 mg/L,NoQuarter,1,685,1,685,109
Pennsylvania,2017,> 10 to 20 mg/L,NoQuarter,13,"10,748",0,0,0
Chester,2017,> 10 to 20 mg/L,NoQuarter,2,189,0,0,29
Dauphin,2017,> 10 to 20 mg/L,NoQuarter,1,66,0,0,43
Erie,2017,> 10 to 20 mg/L,NoQuarter,1,80,0,0,49
Lancaster,2017,> 10 to 20 mg/L,NoQuarter,6,467,0,0,71
Lebanon,2017,> 10 to 20 mg/L,NoQuarter,1,"9,500",0,0,75
Northampton,2017,> 10 to 20 mg/L,NoQuarter,1,400,0,0,95
York,2017,> 10 to 20 mg/L,NoQuarter,1,46,0,0,133
Pennsylvania,2016,> 10 to 20 mg/L,NoQuarter,12,"3,645",0,0,0
Adams,2016,> 10 to 20 mg/L,NoQuarter,1,"1,750",0,0,1
Chester,2016,> 10 to 20 mg/L,NoQuarter,2,311,0,0,29
Lancaster,2016,> 10 to 20 mg/L,NoQuarter,6,449,0,0,71
Lebanon,2016,> 10 to 20 mg/L,NoQuarter,1,400,0,0,75
Northampton,2016,> 10 to 20 mg/L,NoQuarter,1,50,0,0,95
Snyder,2016,> 10 to 20 mg/L,NoQuarter,1,685,0,0,109
Pennsylvania,2015,> 10 to 20 mg/L,NoQuarter,9,"11,515",3,393,0
Chester,2015,> 10 to 20 mg/L,NoQuarter,2,"1,365",1,165,29
Erie,2015,> 10 to 20 mg/L,NoQuarter,1,28,1,28,49
Lancaster,2015,> 10 to 20 mg/L,NoQuarter,4,576,1,200,71
Lebanon,2015,> 10 to 20 mg/L,NoQuarter,1,"9,500",0,0,75
York,2015,> 10 to 20 mg/L,NoQuarter,1,46,0,0,133
Pennsylvania,2014,> 10 to 20 mg/L,NoQuarter,13,"5,792",3,393,0
Chester,2014,> 10 to 20 mg/L,NoQuarter,2,295,1,165,29
Crawford,2014,> 10 to 20 mg/L,NoQuarter,1,"1,600",0,0,39
Erie,2014,> 10 to 20 mg/L,NoQuarter,1,28,1,28,49
Lancaster,2014,> 10 to 20 mg/L,NoQuarter,7,923,1,200,71
Lycoming,2014,> 10 to 20 mg/L,NoQuarter,1,"2,900",0,0,81
York,2014,> 10 to 20 mg/L,NoQuarter,1,46,0,0,133
Pennsylvania,2013,> 10 to 20 mg/L,NoQuarter,14,"3,913",4,"3,191",0
Blair,2013,> 10 to 20 mg/L,NoQuarter,1,85,0,0,13
Chester,2013,> 10 to 20 mg/L,NoQuarter,4,"1,208",2,264,29
Crawford,2013,> 10 to 20 mg/L,NoQuarter,1,110,0,0,39
Delaware,2013,> 10 to 20 mg/L,NoQuarter,1,196,0,0,45
Lancaster,2013,> 10 to 20 mg/L,NoQuarter,6,"1,824",1,115,71
Lebanon,2013,> 10 to 20 mg/L,NoQuarter,1,490,0,0,75
Perry,2013,> 10 to 20 mg/L,NoQuarter,0,0,1,"2,812",99
Pennsylvania,2012,> 10 to 20 mg/L,NoQuarter,14,"3,688",2,275,0
Bedford,2012,> 10 to 20 mg/L,NoQuarter,1,443,0,0,9
Blair,2012,> 10 to 20 mg/L,NoQuarter,1,85,0,0,13
Chester,2012,> 10 to 20 mg/L,NoQuarter,2,264,1,165,29
Crawford,2012,> 10 to 20 mg/L,NoQuarter,1,110,1,110,39
Lancaster,2012,> 10 to 20 mg/L,NoQuarter,9,"2,786",0,0,71
Pennsylvania,2011,> 10 to 20 mg/L,NoQuarter,18,"9,755",3,"2,164",0
Adams,2011,> 10 to 20 mg/L,NoQuarter,1,"1,400",0,0,1
Bedford,2011,> 10 to 20 mg/L,NoQuarter,1,443,0,0,9
Blair,2011,> 10 to 20 mg/L,NoQuarter,1,"3,160",0,0,13
Chester,2011,> 10 to 20 mg/L,NoQuarter,2,264,2,264,29
Crawford,2011,> 10 to 20 mg/L,NoQuarter,1,100,0,0,39
Franklin,2011,> 10 to 20 mg/L,NoQuarter,1,310,0,0,55
Lancaster,2011,> 10 to 20 mg/L,NoQuarter,9,"3,905",1,"1,900",71
Lehigh,2011,> 10 to 20 mg/L,NoQuarter,1,90,0,0,77
York,2011,> 10 to 20 mg/L,NoQuarter,1,83,0,0,133
Pennsylvania,2010,> 10 to 20 mg/L,NoQuarter,12,"6,415",2,"1,985",0
Bedford,2010,> 10 to 20 mg/L,NoQuarter,1,443,0,0,9
Blair,2010,> 10 to 20 mg/L,NoQuarter,1,"3,160",0,0,13
Chester,2010,> 10 to 20 mg/L,NoQuarter,2,143,0,0,29
Lancaster,2010,> 10 to 20 mg/L,NoQuarter,7,"2,269",2,"1,985",71
Lebanon,2010,> 10 to 20 mg/L,NoQuarter,1,400,0,0,75
Pennsylvania,2009,> 10 to 20 mg/L,NoQuarter,16,"21,917",1,85,0
Blair,2009,> 10 to 20 mg/L,NoQuarter,1,"3,160",0,0,13
Chester,2009,> 10 to 20 mg/L,NoQuarter,2,264,0,0,29
