County,county,year,,Number of days with ozone levels over the National Ambient Air Quality Standard (NAAQS),Number of person-days with ozone levels over the National Ambient Air Quality Standard (NAAQS),fips code
Adams,adams,2018,,2,205622,001
Allegheny,allegheny,2018,,8,9747616,003
Armstrong,armstrong,2018,,1,65263,005
Beaver,beaver,2018,,6,988452,007
Berks,berks,2018,,4,1680608,011
Blair,blair,2018,,0,0,013
Bradford,bradford,2018,,0,0,015
Bucks,bucks,2018,,12,7538340,017
Cambria,cambria,2018,,0,0,021
Centre,centre,2018,,0,0,027
Chester,chester,2018,,1,522046,029
Clearfield,clearfield,2018,,1,79388,033
Dauphin,dauphin,2018,,1,277097,043
Delaware,delaware,2018,,4,2259004,045
Elk,elk,2018,,0,0,047
Erie,erie,2018,,0,0,049
Fayette,fayette,2018,,1,130441,051
Franklin,franklin,2018,,0,0,055
Greene,greene,2018,,0,0,059
Indiana,indiana,2018,,1,84501,063
Lackawanna,lackawanna,2018,,0,0,069
Lancaster,lancaster,2018,,3,1630671,071
Lawrence,lawrence,2018,,0,0,073
Lebanon,lebanon,2018,,2,282628,075
Lehigh,lehigh,2018,,2,736200,077
Luzerne,luzerne,2018,,1,317646,079
Lycoming,lycoming,2018,,0,0,081
Mercer,mercer,2018,,3,332049,085
Monroe,monroe,2018,,2,339014,089
Montgomery,montgomery,2018,,7,5800228,091
Northampton,northampton,2018,,5,1524035,095
Philadelphia,philadelphia,2018,,10,15841380,101
Somerset,somerset,2018,,0,0,111
Tioga,tioga,2018,,0,0,117
Washington,washington,2018,,2,414692,125
Westmoreland,westmoreland,2018,,2,701222,129
York,york,2018,,1,448273,133
Adams,adams,2017,,0,0,001
Allegheny,allegheny,2017,,9,11007432,003
Armstrong,armstrong,2017,,0,0,005
Beaver,beaver,2017,,2,332280,007
Berks,berks,2017,,3,1253562,011
Blair,blair,2017,,0,0,013
Bradford,bradford,2017,,0,0,015
Bucks,bucks,2017,,12,7540092,017
Cambria,cambria,2017,,0,0,021
Centre,centre,2017,,0,0,027
Chester,chester,2017,,5,2596465,029
Clearfield,clearfield,2017,,0,0,033
Dauphin,dauphin,2017,,0,0,043
Delaware,delaware,2017,,2,1129392,045
Elk,elk,2017,,0,0,047
Erie,erie,2017,,1,274541,049
Franklin,franklin,2017,,0,0,055
Greene,greene,2017,,0,0,059
Indiana,indiana,2017,,0,0,063
Lackawanna,lackawanna,2017,,0,0,069
Lancaster,lancaster,2017,,2,1085806,071
Lawrence,lawrence,2017,,0,0,073
Lebanon,lebanon,2017,,0,0,075
Lehigh,lehigh,2017,,1,366494,077
Luzerne,luzerne,2017,,0,0,079
Lycoming,lycoming,2017,,0,0,081
Mercer,mercer,2017,,2,223500,085
Monroe,monroe,2017,,0,0,089
Montgomery,montgomery,2017,,7,5782525,091
Northampton,northampton,2017,,1,303405,095
Philadelphia,philadelphia,2017,,12,18970356,101
Somerset,somerset,2017,,0,0,111
Tioga,tioga,2017,,0,0,117
Washington,washington,2017,,0,0,125
Westmoreland,westmoreland,2017,,0,0,129
York,york,2017,,0,0,133
Adams,adams,2016,,5,510900,001
Allegheny,allegheny,2016,,7,8577555,003
Armstrong,armstrong,2016,,5,332430,005
Beaver,beaver,2016,,4,669716,007
